team;season;victories;defeats;overtime_defeats;victory_percentage;scored_goals;received_goals;goal_difference;% of defeats in overtime;goals_ratio
Boston Bruins;1990;44;24;0;55.0;299;264;35;0.0;1.13
Buffalo Sabres;1990;31;30;0;38.8;292;278;14;0.0;1.05
Calgary Flames;1990;46;26;0;57.5;344;263;81;0.0;1.31
Chicago Blackhawks;1990;49;23;0;61.3;284;211;73;0.0;1.35
Detroit Red Wings;1990;34;38;0;42.5;273;298;-25;0.0;0.92
Edmonton Oilers;1990;37;37;0;46.3;272;272;0;0.0;1.0
Hartford Whalers;1990;31;38;0;38.8;238;276;-38;0.0;0.86
Los Angeles Kings;1990;46;24;0;57.5;340;254;86;0.0;1.34
Minnesota North Stars;1990;27;39;0;33.8;256;266;-10;0.0;0.96
Montreal Canadiens;1990;39;30;0;48.7;273;249;24;0.0;1.1
New Jersey Devils;1990;32;33;0;40.0;272;264;8;0.0;1.03
New York Islanders;1990;25;45;0;31.2;223;290;-67;0.0;0.77
New York Rangers;1990;36;31;0;45.0;297;265;32;0.0;1.12
Philadelphia Flyers;1990;33;37;0;41.2;252;267;-15;0.0;0.94
Pittsburgh Penguins;1990;41;33;0;51.2;342;305;37;0.0;1.12
Quebec Nordiques;1990;16;50;0;20.0;236;354;-118;0.0;0.67
St. Louis Blues;1990;47;22;0;58.8;310;250;60;0.0;1.24
Toronto Maple Leafs;1990;23;46;0;28.7;241;318;-77;0.0;0.76
Vancouver Canucks;1990;28;43;0;35.0;243;315;-72;0.0;0.77
Washington Capitals;1990;37;36;0;46.3;258;258;0;0.0;1.0
Winnipeg Jets;1990;26;43;0;32.5;260;288;-28;0.0;0.9
Boston Bruins;1991;36;32;0;45.0;270;275;-5;0.0;0.98
Buffalo Sabres;1991;31;37;0;38.8;289;299;-10;0.0;0.97
Calgary Flames;1991;31;37;0;38.8;296;305;-9;0.0;0.97
Chicago Blackhawks;1991;36;29;0;45.0;257;236;21;0.0;1.09
Atlanta Thrashers;1999;14;57;4;17.1;170;313;-143;6.56;0.54
Boston Bruins;1999;24;33;6;29.3;210;248;-38;15.38;0.85
Buffalo Sabres;1999;35;32;4;42.7;213;204;9;11.11;1.04
Calgary Flames;1999;31;36;5;37.8;211;256;-45;12.2;0.82
Carolina Hurricanes;1999;37;35;0;45.1;217;216;1;0.0;1.0
Chicago Blackhawks;1999;33;37;2;40.2;242;245;-3;5.13;0.99
Colorado Avalanche;1999;42;28;1;51.2;233;201;32;3.45;1.16
Dallas Stars;1999;43;23;6;52.4;211;184;27;20.69;1.15
Detroit Red Wings;1999;48;22;2;58.5;278;210;68;8.33;1.32
Edmonton Oilers;1999;32;26;8;39.0;226;212;14;23.53;1.07
Florida Panthers;1999;43;27;6;52.4;244;209;35;18.18;1.17
Los Angeles Kings;1999;39;27;4;47.6;245;228;17;12.9;1.07
Montreal Canadiens;1999;35;34;4;42.7;196;194;2;10.53;1.01
Nashville Predators;1999;28;40;7;34.1;199;240;-41;14.89;0.83
New Jersey Devils;1999;45;24;5;54.9;251;203;48;17.24;1.24
New York Islanders;1999;24;48;1;29.3;194;275;-81;2.04;0.71
New York Rangers;1999;29;38;3;35.4;218;246;-28;7.32;0.89
Ottawa Senators;1999;41;28;2;50.0;244;210;34;6.67;1.16
Philadelphia Flyers;1999;45;22;3;54.9;237;179;58;12.0;1.32
Phoenix Coyotes;1999;39;31;4;47.6;232;228;4;11.43;1.02
Pittsburgh Penguins;1999;37;31;6;45.1;241;236;5;16.22;1.02
San Jose Sharks;1999;35;30;7;42.7;225;214;11;18.92;1.05
St. Louis Blues;1999;51;19;1;62.2;248;165;83;5.0;1.5
Tampa Bay Lightning;1999;19;47;7;23.2;204;310;-106;12.96;0.66
Toronto Maple Leafs;1999;45;27;3;54.9;246;222;24;10.0;1.11
